"Órgão ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"ADVOCACIA-GERAL DO ESTADO";"152.833.305,17";"150.958.496,50";"147.179.828,35"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"3.201.721,36";"3.167.692,36";"3.122.231,75"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"946.490,31";"907.233,94";"881.162,37"
"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"7.420.409,29";"7.228.238,75";"7.181.032,47"
"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"906.288.830,69";"885.605.222,82";"877.701.001,23"
"CIDADE ADMINISTRATIVA";"69.412.483,01";"48.337.140,44";"28.549.391,51"
"CONTROLADORIA-GERAL DO ESTADO";"23.481.779,09";"23.134.085,27";"23.009.331,12"
"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"854.454.513,28";"838.511.344,62";"837.316.309,08"
"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"348.896.038,09";"343.228.862,22";"341.217.787,81"
"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"395.908.884,91";"344.964.869,92";"253.714.460,92"
"DEPARTAMENTO DE TRANSITO DE MINAS GERAIS";"235.876.542,01";"219.161.615,92";"173.731.317,42"
"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"23.908.895.768,21";"21.952.078.449,83";"20.588.374.054,87"
"EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"33.209.686,73";"29.216.841,16";"29.014.642,58"
"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"207.685.457,63";"207.685.457,63";"207.685.457,63"
"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"76.842.497,61";"76.842.497,61";"76.842.497,61"
"EMPRESA MINEIRA DE COMUNICACAO";"7.364.582,50";"7.364.582,50";"7.364.582,50"
"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"8.550.063,13";"7.680.572,12";"7.071.394,02"
"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"175.561.730,88";"151.540.203,98";"130.480.806,24"
"FUNDACAO CLOVIS SALGADO";"25.895.459,39";"23.538.261,27";"21.595.796,88"
"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"114.401.801,64";"110.337.367,75";"53.833.013,80"
"FUNDACAO DE ARTE DE OURO PRETO";"2.020.121,22";"1.830.569,83";"1.753.763,14"
"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";"7.255.633,86";"5.953.115,18";"5.810.681,89"
"FUNDACAO EDUCACIONAL CAIO MARTINS";"3.182.890,44";"2.976.132,39";"2.725.846,32"
"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"18.209.874,49";"18.137.328,75";"17.964.753,24"
"FUNDACAO EZEQUIEL DIAS";"262.721.055,03";"113.288.171,79";"103.886.283,63"
"FUNDACAO HELENA ANTIPOFF";"17.009.718,48";"16.316.769,63";"16.060.927,67"
"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"1.160.615.728,51";"1.116.556.124,91";"1.018.833.941,37"
"FUNDACAO JOAO PINHEIRO";"28.010.011,41";"27.367.950,07";"25.834.526,99"
"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"13.145.832,74";"12.085.827,97";"11.269.300,10"
"FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS";"241.776,97";"209.283,15";"209.283,15"
"FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS";"29.589.376,21";"29.589.376,21";"29.074.043,10"
"FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"26.977.000,41";"22.575.644,78";"9.847.856,08"
"FUNDO DE DESENVOLVIMENTO METROPOLITANO";"356.133,68";"252.133,68";"133.628,81"
"FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO-PRIVADAS DE MINAS GERAIS";"190.084.295,07";"186.551.068,97";"176.832.063,26"
"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"1.839.075,57";"1.750.454,89";"767.566,53"
"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS";"522.338,80";"289.867,54";"290.395,75"
"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"735.044.870,01";"637.710.751,91";"593.963.340,98"
"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"25.804.055,89";"25.435.048,72";"24.582.853,71"
"FUNDO ESTADUAL DE CULTURA";"446.200,00";"437.651,00";"376.451,00"
"FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS";"9.207,65";"9.207,65";"9.207,65"
"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"78.192.749,54";"62.335.867,55";"50.764.473,55"
"FUNDO ESTADUAL DE HABITACAO";"15.124.730,06";"15.124.730,06";"14.133.907,38"
"FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR";"4.318.052,17";"3.651.271,80";"3.505.638,52"
"FUNDO ESTADUAL DE SAUDE";"4.405.730.160,96";"3.344.064.095,16";"2.761.436.737,16"
"FUNDO FINANCEIRO DE PREVIDENCIA";"9.228.497.763,54";"9.228.300.251,54";"9.228.300.251,54"
"FUNDO PENITENCIARIO ESTADUAL";"11.421.710,28";"2.544.198,28";"2.544.198,28"
"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"20.897.367,64";"14.962.856,96";"12.908.394,51"
"GESTAO DA DIVIDA PUBLICA ESTADUAL";"6.107.640.807,33";"6.106.688.285,16";"273.106.499,46"
"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"12.240.720,90";"7.789.496,33";"7.421.069,58"
"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"19.966.992,88";"19.560.420,72";"19.019.172,24"
"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"38.426.583,55";"38.426.583,55";"38.426.583,55"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"942.827.054,50";"804.388.849,92";"735.640.546,97"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"1.525.482.116,36";"1.388.245.669,35";"1.124.162.868,46"
"INSTITUTO ESTADUAL DE FLORESTAS";"103.225.887,44";"98.870.645,05";"89.269.206,20"
"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"10.927.045,54";"9.422.127,26";"8.732.554,59"
"INSTITUTO MINEIRO DE AGROPECUARIA";"125.672.871,16";"122.932.551,37";"121.733.492,90"
"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"34.995.330,88";"32.910.250,28";"19.048.185,66"
"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"25.789.128,23";"23.980.142,83";"21.463.062,34"
"LOTERIA DO ESTADO DE MINAS GERAIS";"3.693.910,14";"3.267.845,65";"3.084.650,10"
"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"5.045.570,44";"4.973.832,14";"4.928.012,84"
"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"125.011.189,05";"124.612.189,05";"100.501.189,05"
"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"1.266.813.672,35";"1.250.200.172,41";"1.226.095.099,18"
"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"7.938.445.316,15";"7.881.521.536,72";"7.805.879.018,97"
"PROCURADORIA GERAL DE JUSTICA";"1.479.821.052,21";"1.449.561.791,34";"1.442.064.651,49"
"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"103.554.663,26";"37.538.414,69";"35.095.442,98"
"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"29.395.617,53";"28.385.499,99";"24.975.440,52"
"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"24.071.934,59";"18.785.504,72";"17.535.209,74"
"SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS";"14.273.723,81";"14.268.817,91";"14.067.294,07"
"SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL";"2.960.357,61";"2.959.840,08";"2.939.924,33"
"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"30.089.888,88";"26.209.388,53";"23.160.292,32"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"10.156.181,77";"10.095.249,84";"9.919.918,25"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS";"35.373.649,69";"12.808.419,23";"14.083.965,05"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"16.500.770,25";"15.867.590,37";"15.529.991,19"
"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA";"12.682.346,09";"12.580.217,90";"12.463.799,93"
"SECRETARIA DE ESTADO DE EDUCACAO";"6.954.479.019,25";"6.645.791.302,80";"6.549.783.293,95"
"SECRETARIA DE ESTADO DE ESPORTES";"14.969.025,22";"12.121.042,48";"10.928.641,23"
"SECRETARIA DE ESTADO DE FAZENDA";"770.971.841,13";"752.997.375,04";"741.352.965,24"
"SECRETARIA DE ESTADO DE GOVERNO";"118.575.590,67";"43.287.475,07";"38.217.886,05"
"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"1.469.274.278,76";"1.391.812.667,30";"1.262.855.466,97"
"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"93.968.432,14";"93.445.288,19";"91.562.346,92"
"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"140.961.793,96";"132.728.574,76";"125.266.571,62"
"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"210.057.488,65";"207.991.278,97";"194.652.614,44"
"SECRETARIA DE ESTADO DE TURISMO";"4.270.692,14";"4.260.752,36";"4.212.182,21"
"SECRETARIA-GERAL";"18.796.682,93";"6.944.363,46";"6.844.295,95"
"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"559.312.541,81";"545.718.494,76";"540.817.815,81"
"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"3.523.609.191,60";"3.523.609.191,60";"3.523.815.042,70"
"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"38.653.277,03";"37.814.223,30";"37.627.906,87"
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"148.024.794,01";"140.505.531,55";"136.142.414,01"
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"211.795.139,51";"197.875.775,19";"187.852.168,37"